lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1282287,-36.74568644,1/04/2022,131.5,2.795,30.58,24.82,1058,1352,1870,2014,2077,2210,2424,2490,4034,2845
142.1282518,-36.74567994,1/04/2022,131.6,2.845,31.8,24.88,1058,1352,1870,2014,2077,2210,2424,2490,4034,2845
142.1282727,-36.74566974,1/04/2022,131.7,2.775,31.3,24.71,1058,1352,1870,2014,2077,2210,2424,2490,4034,2845
142.1282948,-36.74566144,1/04/2022,131.7,2.715,32.58,24.63,1058,1352,1870,2014,2077,2210,2424,2490,4034,2845
142.1283167,-36.74565304,1/04/2022,131.8,2.715,31.98,24.68,1058,1352,1870,2014,2077,2210,2424,2490,4034,2845
142.1283387,-36.74564464,1/04/2022,131.9,2.735,31.32,25.47,1044,1340,1794,2014,2077,2210,2380,2490,4034,2845
142.1283607,-36.74563624,1/04/2022,131.9,2.81,32.13,25.83,1044,1340,1794,2014,2077,2210,2380,2490,4034,2845
142.1283827,-36.74562804,1/04/2022,132.0,2.805,31.75,25.89,1044,1340,1794,2014,2077,2210,2380,2490,4034,2845
142.1284057,-36.74562144,1/04/2022,132.0,2.81,32.6,25.97,1044,1340,1794,2014,2077,2210,2380,2490,4034,2845
142.1284266,-36.74561114,1/04/2022,132.1,2.905,33.08,25.81,1044,1340,1794,2014,2077,2210,2380,2490,4034,2845
142.1284496,-36.74560474,1/04/2022,132.2,3.03,32.27,25.6,1014,1274,1696,1881,1956,2074,2276,2373,3926,2794
142.1284705,-36.74559444,1/04/2022,132.2,3.025,32.7,25.35,1014,1274,1696,1881,1956,2074,2276,2373,3926,2794
142.1284926,-36.74558624,1/04/2022,132.3,3.035,34.33,25.13,1014,1274,1696,1881,1956,2074,2276,2373,3926,2794
142.1285145,-36.74557784,1/04/2022,132.3,3.08,34.85,24.86,1014,1274,1696,1881,1956,2074,2276,2373,3926,2794
142.1285364,-36.74556944,1/04/2022,132.4,3.06,34.23,24.6,1014,1274,1696,1881,1956,2074,2276,2373,3926,2794
142.1285584,-36.74556104,1/04/2022,132.4,3.075,34.92,24.14,966,1222,1678,1881,1956,2074,2192,2373,3926,2794
142.1285815,-36.74555454,1/04/2022,132.4,3.11,36.02,24.25,966,1222,1678,1881,1956,2074,2192,2373,3926,2794
142.1286024,-36.74554424,1/04/2022,132.5,3.06,35.9,24.01,1016,1284,1742,1940,2032,2133,2298,2411,3965,2831
142.1286244,-36.74553594,1/04/2022,132.5,3.085,35.92,24.57,1016,1284,1742,1940,2032,2133,2298,2411,3965,2831
142.1286464,-36.74552764,1/04/2022,132.6,3.11,36.38,24.47,1016,1284,1742,1940,2032,2133,2298,2411,3965,2831
142.1286685,-36.74551934,1/04/2022,132.6,3.115,35.45,24.85,977,1224,1680,1934,2024,2143,2252,2420,3960,2779
142.1286916,-36.74551274,1/04/2022,132.6,3.135,36.0,24.69,977,1224,1680,1934,2024,2143,2252,2420,3960,2779
142.1287137,-36.74550424,1/04/2022,132.6,3.11,36.17,24.83,977,1224,1680,1934,2024,2143,2252,2420,3960,2779
142.1287348,-36.74549394,1/04/2022,132.6,3.05,36.63,25.17,977,1224,1680,1934,2024,2143,2252,2420,3960,2779
142.1287568,-36.74548554,1/04/2022,132.6,3.02,36.83,25.51,977,1224,1680,1934,2024,2143,2252,2420,3960,2779
142.1287801,-36.74547904,1/04/2022,132.6,2.97,36.42,25.5,944,1224,1682,1934,2024,2143,2244,2420,3960,2779
142.128801,-36.74546874,1/04/2022,132.7,2.955,36.7,25.29,944,1224,1682,1934,2024,2143,2244,2420,3960,2779
142.1288232,-36.74546024,1/04/2022,132.7,2.94,36.83,25.28,1044,1328,1764,1934,2024,2143,2362,2420,3960,2779
142.1288454,-36.74545184,1/04/2022,132.7,2.95,37.83,25.69,1044,1328,1764,1934,2024,2143,2362,2420,3960,2779
142.1288676,-36.74544334,1/04/2022,132.7,2.96,37.3,25.79,1044,1328,1764,1934,2024,2143,2362,2420,3960,2779
142.1288899,-36.74543484,1/04/2022,132.7,3.045,35.67,26.15,1044,1328,1764,1934,2024,2143,2362,2420,3960,2779
142.1289121,-36.74542644,1/04/2022,132.7,3.05,33.55,25.96,1034,1340,1802,2005,2078,2179,2382,2456,4052,2848
142.1289344,-36.74541804,1/04/2022,132.7,2.985,33.55,25.92,1034,1340,1802,2005,2078,2179,2382,2456,4052,2848
142.1289565,-36.74540964,1/04/2022,132.7,2.995,31.65,25.82,1034,1340,1802,2005,2078,2179,2382,2456,4052,2848
142.1289798,-36.74540294,1/04/2022,132.7,2.965,32.08,25.76,1034,1340,1802,2005,2078,2179,2382,2456,4052,2848
142.129001,-36.74539254,1/04/2022,132.6,3.0,31.52,25.76,1034,1340,1802,2005,2078,2179,2382,2456,4052,2848
142.1290232,-36.74538414,1/04/2022,132.6,2.94,28.45,25.85,1048,1352,1838,2005,2078,2179,2438,2456,4052,2848
142.1290456,-36.74537574,1/04/2022,132.6,2.745,28.88,25.68,1048,1352,1838,2005,2078,2179,2438,2456,4052,2848
