lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934025.0,601275.0,753,964,1360,1575,1680,1833,1960,2090,3936,2732
5934025.0,601285.0,770,974,1352,1568,1697,1849,1976,2081,3948,2713
5934025.0,601295.0,749,957,1324,1568,1697,1849,1942,2081,3948,2713
5934025.0,601305.0,756,977,1350,1583,1686,1841,1972,2110,3961,2755
5934025.0,601315.0,812,992,1396,1583,1686,1841,1968,2110,3961,2755
5934025.0,601325.0,809,1030,1386,1616,1701,1853,1936,2119,4010,2775
5934025.0,601335.0,775,1000,1400,1616,1701,1853,1994,2119,4010,2775
5934025.0,601345.0,800,1032,1438,1672,1770,1901,2014,2134,4051,2785
5934025.0,601355.0,825,1078,1474,1672,1770,1901,2056,2134,4051,2785
5934025.0,601365.0,844,1088,1500,1702,1813,1924,2042,2207,4051,2796
5934025.0,601375.0,855,1062,1502,1702,1813,1924,2076,2207,4051,2796
5934015.0,600195.0,798,1056,1356,1782,1986,2104,2110,2296,3588,2449
5934015.0,600205.0,798,1052,1368,1705,1959,2101,2104,2291,3600,2455
5934015.0,600215.0,817,1062,1368,1705,1959,2101,2128,2291,3600,2455
5934015.0,600225.0,820,1068,1366,1687,1951,2077,2156,2352,3599,2409
5934015.0,600235.0,774,1002,1294,1687,1951,2077,2100,2352,3599,2409
5934015.0,600245.0,750,1019,1260,1693,1944,2062,2124,2334,3566,2398
5934015.0,600255.0,764,1038,1322,1693,1944,2062,2136,2334,3566,2398
5934015.0,600265.0,776,1016,1306,1748,1951,2086,2112,2285,3573,2421
5934015.0,600275.0,802,1080,1314,1748,1951,2086,2096,2285,3573,2421
5934015.0,600285.0,772,1028,1324,1678,1933,2090,2092,2295,3603,2418
5934015.0,600295.0,776,1042,1328,1678,1933,2090,2142,2295,3603,2418
5934015.0,600305.0,750,990,1284,1676,1931,2091,2088,2346,3613,2417
5934015.0,600315.0,814,1062,1324,1676,1931,2091,2146,2346,3613,2417
5934015.0,600325.0,822,1102,1344,1704,1962,2075,2106,2336,3602,2432
5934015.0,600335.0,814,1106,1364,1704,1962,2075,2084,2336,3602,2432
5934015.0,600345.0,792,1062,1358,1731,1956,2073,2106,2261,3594,2451
5934015.0,600355.0,811,1046,1366,1731,1956,2073,2056,2261,3594,2451
5934015.0,600365.0,824,1066,1388,1730,1925,2086,2114,2271,3613,2482
5934015.0,600375.0,845,1128,1418,1730,1925,2086,2086,2271,3613,2482
5934015.0,600385.0,814,1114,1446,1699,1928,2044,2058,2287,3624,2483
5934015.0,600395.0,838,1078,1398,1699,1928,2044,2074,2287,3624,2483
5934015.0,600405.0,782,1056,1350,1715,1917,2040,2018,2300,3612,2445
5934015.0,600415.0,855,1080,1396,1715,1917,2040,2078,2300,3612,2445
5934015.0,600425.0,868,1108,1428,1748,1939,2087,2154,2283,3588,2485
5934015.0,600435.0,845,1082,1368,1748,1939,2087,2122,2283,3588,2485
5934015.0,600445.0,853,1100,1416,1760,1902,2054,2036,2241,3610,2523
5934015.0,600455.0,845,1116,1428,1760,1902,2054,2032,2241,3610,2523
5934015.0,600465.0,838,1082,1402,1709,1865,2018,2032,2262,3623,2515
5934015.0,600475.0,858,1072,1416,1709,1865,2018,2002,2262,3623,2515
5934015.0,600485.0,855,1076,1402,1703,1903,2005,2002,2278,3612,2493
5934015.0,600495.0,855,1096,1426,1703,1903,2005,2074,2278,3612,2493
5934015.0,600505.0,850,1048,1396,1732,1941,2032,2062,2248,3571,2480
5934015.0,600515.0,824,1028,1356,1732,1941,2032,2010,2248,3571,2480
5934015.0,600525.0,802,1050,1340,1695,1888,2048,2016,2243,3521,2451
5934015.0,600535.0,764,1010,1304,1695,1888,2048,2046,2243,3521,2451
5934015.0,600545.0,805,1054,1334,1631,1875,2054,2076,2255,3515,2390
5934015.0,600555.0,760,1006,1276,1631,1875,2054,2060,2255,3515,2390
5934015.0,600565.0,777,1013,1268,1617,1856,2002,2036,2262,3510,2365
5934015.0,600575.0,766,1036,1288,1617,1856,2002,2010,2262,3510,2365
5934015.0,600585.0,766,1036,1308,1669,1957,2040,2036,2297,3518,2422
5934015.0,600595.0,778,1042,1292,1669,1957,2040,2146,2297,3518,2422
5934015.0,600605.0,745,1018,1288,1657,1917,2061,2088,2260,3504,2413
5934015.0,600615.0,740,1036,1292,1657,1917,2061,2066,2260,3504,2413
5934015.0,600625.0,745,1058,1312,1634,1895,2051,2092,2287,3521,2394
5934015.0,600635.0,778,1028,1290,1634,1895,2051,2104,2287,3521,2394
5934015.0,600645.0,782,1022,1288,1605,1895,2035,2128,2312,3532,2355
5934015.0,600655.0,804,1044,1304,1605,1895,2035,2106,2312,3532,2355
5934015.0,600665.0,734,1038,1308,1669,1956,2062,2114,2335,3504,2367
5934015.0,600675.0,739,1042,1292,1669,1956,2062,2172,2335,3504,2367
5934015.0,600685.0,778,1058,1294,1687,1990,2160,2244,2370,3540,2407
5934015.0,600695.0,746,1022,1272,1687,1990,2160,2236,2370,3540,2407
5934015.0,600705.0,750,1036,1300,1647,1973,2149,2178,2351,3565,2390
5934015.0,600715.0,784,1054,1346,1647,1973,2149,2160,2351,3565,2390
5934015.0,600725.0,808,1068,1356,1719,2098,2214,2164,2493,3691,2497
5934015.0,600735.0,885,1116,1404,1719,2098,2214,2260,2493,3691,2497
5934015.0,600745.0,871,1154,1440,1829,2199,2349,2436,2574,3706,2595
5934015.0,600755.0,874,1194,1418,1829,2199,2349,2458,2574,3706,2595
5934015.0,600765.0,1006,1270,1554,1904,2103,2277,2456,2561,3690,2685
5934015.0,600775.0,1072,1370,1704,1904,2103,2277,2448,2561,3690,2685
5934015.0,600785.0,1078,1378,1738,1778,2088,2280,2454,2516,3384,2502
5934015.0,600795.0,1044,1322,1666,1778,2088,2280,2438,2516,3384,2502
5934015.0,600805.0,914,1200,1504,1421,1910,2110,2360,2406,2829,2076
5934015.0,600815.0,718,1004,1254,1421,1910,2110,2250,2406,2829,2076
5934015.0,600825.0,540,806,988,1265,1908,2169,2378,2398,2308,1691
5934015.0,600835.0,408,715,716,1265,1908,2169,2702,2398,2308,1691
5934015.0,600845.0,360,672,748,1226,1744,1936,2230,2180,2202,1574
